City,Country,Latitude,Longitude,Population,Elevation,Timezone,GMT_offset
Acajete,Mexico,19.11154,-97.95231,20923,2468,America/Mexico_City,-6
Acajutla,El Salvador,13.59278,-89.8275,22763,26,America/El_Salvador,-6
Acambaro,Mexico,20.03085,-100.72194,57972,1861,America/Mexico_City,-6
Acaponeta,Mexico,22.49396,-105.36369,19140,30,America/Mazatlan,-7
Acapulco de Juarez,Mexico,16.84942,-99.90891,673479,16,America/Mexico_City,-6
Acarau,Brazil,-2.88556,-40.12,28389,17,America/Fortaleza,-3
Acarigua,Venezuela,9.55451,-69.19564,143704,189,America/Caracas,-4
Acatlan de Osorio,Mexico,18.2025,-98.04864,16307,1185,America/Mexico_City,-6
Acatzingo,Mexico,18.98196,-97.78363,25811,2148,America/Mexico_City,-6
Acayucan,Mexico,17.94979,-94.91386,50934,102,America/Mexico_City,-6
Accra,Ghana,5.55602,-0.1969,1963264,33,Africa/Accra,0
Accrington,United Kingdom,53.75379,-2.35863,35318,148,Europe/London,0
Acerra,Italy,40.94477,14.3714,53578,30,Europe/Rome,1
Achalpur,India,21.25665,77.51006,111278,376,Asia/Kolkata,5.5
Acharnes,Greece,38.08333,23.73333,99346,171,Europe/Athens,2
Acheng,"China, People's Republic of",45.54545,126.97703,144665,139,Asia/Shanghai,8
Acheres,France,48.96115,2.06882,22555,29,Europe/Paris,1
Achern,Germany,48.63115,8.07607,24478,145,Europe/Berlin,1
Achhnera,India,27.17826,77.75674,20532,176,Asia/Kolkata,5.5
Achim,Germany,53.01416,9.0263,30013,14,Europe/Berlin,1
Achinsk,Russia,56.2694,90.4993,117634,207,Asia/Krasnoyarsk,7
Achkhoy-Martan,Russia,43.18997,45.28373,16779,247,Europe/Moscow,3
Aci Castello,Italy,37.55564,15.14535,17588,33,Europe/Rome,1
Aci Catena,Italy,37.60614,15.14165,24663,203,Europe/Rome,1
Acilia-Castel Fusano-Ostia Antica,Italy,41.76337,12.33078,129362,5,Europe/Rome,1
Acireale,Italy,37.60886,15.16577,49477,155,Europe/Rome,1
Acocks Green,United Kingdom,52.45,-1.81667,26635,125,Europe/London,0
Acopiara,Brazil,-6.09528,-39.4525,24561,319,America/Fortaleza,-3
Acquaviva delle Fonti,Italy,40.89704,16.8433,20536,301,Europe/Rome,1
Acqui Terme,Italy,44.67552,8.46934,17828,161,Europe/Rome,1
Acre,Israel,32.92814,35.07647,45603,8,Asia/Jerusalem,2
Acton,United Kingdom,51.50901,-0.2762,53689,30,Europe/London,0
Acton,United States,42.48509,-71.43284,20897,86,America/New_York,-5
Actopan,Mexico,20.26961,-98.94377,29223,2008,America/Mexico_City,-6
Acu,Brazil,-5.57667,-36.90861,36125,36,America/Fortaleza,-3
Acworth,United States,34.06635,-84.67837,22131,277,America/New_York,-5
Ad Dana,Syria,36.21254,36.76998,21987,400,Asia/Damascus,2
Ad Darbasiyah,Syria,37.07279,40.65199,21481,484,Asia/Damascus,2
Ad Dasmah,Kuwait,29.365,48.00139,17585,9,Asia/Kuwait,3
Ad Dawadimi,Saudi Arabia,24.50772,44.39237,54474,975,Asia/Riyadh,3
Ad Dilam,Saudi Arabia,23.99104,47.16181,35371,453,Asia/Riyadh,3
Ad Dilinjat,Egypt,30.82796,30.53552,40386,6,Africa/Cairo,2
Ad Dindar,Sudan,13.2,34.16667,15144,437,Africa/Khartoum,2
Ad Diwaniyah,Iraq,31.99289,44.92552,318801,25,Asia/Baghdad,3
Ad Douiem,Sudan,14.0012,32.3116,87068,385,Africa/Khartoum,2
Ad Dujayl,Iraq,33.84667,44.23444,26362,46,Asia/Baghdad,3
Ad-Damazin,Sudan,11.7891,34.3592,186051,485,Africa/Khartoum,2
Ada,United States,34.77453,-96.67834,17303,314,America/Chicago,-6
Adam,Oman,22.37934,57.52718,17283,284,Asia/Muscat,4
Adamantina,Brazil,-21.68528,-51.0725,31078,468,America/Sao_Paulo,-3
Adampur,India,31.43224,75.71484,17027,248,Asia/Kolkata,5.5
Adams Morgan,United States,38.9215,-77.0422,15830,55,America/New_York,-5
Adamstown,Pitcairn,-25.06597,-130.10147,46,67,Pacific/Pitcairn,-8
Adana,Turkey,36.98615,35.32531,1248988,30,Europe/Istanbul,3
Adapazari,Turkey,40.78056,30.40333,286787,34,Europe/Istanbul,3
Addanki,India,15.81061,79.97338,28547,41,Asia/Kolkata,5.5
Addis Ababa,Ethiopia,9.02497,38.74689,2757729,2405,Africa/Addis_Ababa,3
Addison,United States,32.96179,-87.98896,15518,196,America/Chicago,-6
Adeje,Spain,28.12271,-16.726,43204,284,Atlantic/Canary,0
Adelaide,Australia,-34.92866,138.59863,1225235,59,Australia/Adelaide,10.5
Adelaide Hills,Australia,-34.91119,138.70735,60394,426,Australia/Adelaide,10.5
Adelaide city centre,Australia,-34.92873,138.60334,19820,58,Australia/Adelaide,10.5
Adelanto,United States,34.58277,-117.40922,33166,881,America/Los_Angeles,-8
Adelfia,Italy,41.0033,16.87208,16756,151,Europe/Rome,1
Adelphi,United States,39.00317,-76.97192,15086,56,America/New_York,-5
Aden,Yemen,12.77944,45.03667,550602,16,Asia/Aden,3
Adet,Ethiopia,11.26667,37.48333,22946,2203,Africa/Addis_Ababa,3
Adh Dhayd,United Arab Emirates,25.28812,55.88157,24716,114,Asia/Dubai,4
Adiake,Ivory Coast,5.28634,-3.30403,16531,40,Africa/Abidjan,0
Adigrat,Ethiopia,14.277,39.462,65000,2451,Africa/Addis_Ababa,3
Adilabad,India,19.67203,78.5359,118526,257,Asia/Kolkata,5.5
Adilcevaz,Turkey,38.79911,42.73159,52781,1652,Europe/Istanbul,3
Adirampattinam,India,10.34059,79.37905,27909,12,Asia/Kolkata,5.5
Adis Zemen,Ethiopia,12.11667,37.78333,22522,2023,Africa/Addis_Ababa,3
Adiwerna,Indonesia,-6.9375,109.1325,134188,23,Asia/Jakarta,7
Adiyaman,Turkey,37.76441,38.27629,223744,678,Europe/Istanbul,3
Adjud,Romania,46.1,27.16667,17298,101,Europe/Bucharest,2
Adjumani,Uganda,3.37786,31.7909,28700,816,Africa/Kampala,3
Adler,Russia,43.42896,39.92391,70200,7,Europe/Moscow,3
Adlershof,Germany,52.43548,13.54825,15294,37,Europe/Berlin,1
Adliswil,Switzerland,47.30997,8.52462,15230,450,Europe/Zurich,1
Admiralteisky,Russia,59.90839,30.28484,157897,9,Europe/Moscow,3
Ado-Ekiti,Nigeria,7.62329,5.22087,424340,439,Africa/Lagos,1
Ado-Odo,Nigeria,6.59546,2.94176,15442,25,Africa/Lagos,1
Adoni,India,15.62788,77.27495,163631,432,Asia/Kolkata,5.5
Adra,India,23.49668,86.68363,22159,191,Asia/Kolkata,5.5
Adra,Spain,36.74831,-3.02076,24373,12,Europe/Madrid,1
Adrano,Italy,37.66358,14.83283,34446,562,Europe/Rome,1
Adrar,Algeria,27.87429,-0.29388,43903,257,Africa/Algiers,1
Adrian,United States,41.89755,-84.03717,20691,238,America/Detroit,-5
Adrogue,Argentina,-34.80041,-58.38384,28265,28,America/Argentina/Buenos_Aires,-3
Adur,India,9.15595,76.73192,29652,43,Asia/Kolkata,5.5
Adwick le Street,United Kingdom,53.57077,-1.18454,19481,12,Europe/London,0
Adzope,Ivory Coast,6.10694,-3.86194,61884,109,Africa/Abidjan,0
Affery,Ivory Coast,6.32035,-3.95235,29909,106,Africa/Abidjan,0
Affton,United States,38.55061,-90.33317,20307,188,America/Chicago,-6
Afgooye,Somalia,2.1381,45.1212,65461,87,Africa/Mogadishu,3
Afif,Saudi Arabia,23.9065,42.91724,45525,1045,Asia/Riyadh,3
Afikpo,Nigeria,5.89258,7.93534,71866,92,Africa/Lagos,1
Afipskiy,Russia,44.90005,38.84265,18209,22,Europe/Moscow,3
Aflao,Ghana,6.11982,1.19012,66546,9,Africa/Accra,0
Aflou,Algeria,34.11279,2.10228,84683,1392,Africa/Algiers,1
Afogados da Ingazeira,Brazil,-7.75083,-37.63917,25060,516,America/Recife,-3
Afragola,Italy,40.92298,14.30935,62775,45,Europe/Rome,1
Afsin,Turkey,38.24769,36.91399,39613,1222,Europe/Istanbul,3
Afula,Israel,32.60907,35.2892,44930,62,Asia/Jerusalem,2
Afyonkarahisar,Turkey,38.75667,30.54333,146136,1019,Europe/Istanbul,3
Afzalgarh,India,29.3937,78.67393,27753,234,Asia/Kolkata,5.5
Afzalpur,India,17.19986,76.36018,20094,422,Asia/Kolkata,5.5
Agadez,Niger,16.97333,7.99111,124324,505,Africa/Niamey,1
Agadir,Morocco,30.42018,-9.59815,698310,31,Africa/Casablanca,1
Agar,India,23.71177,76.01571,34532,519,Asia/Kolkata,5.5
Agaro,Ethiopia,7.85,36.65,28268,1609,Africa/Addis_Ababa,3
Agartala,India,23.83605,91.27939,203264,15,Asia/Kolkata,5.5
Agawam,United States,42.06954,-72.61481,28761,28,America/New_York,-5
Agbor,Nigeria,6.25375,6.1942,67610,130,Africa/Lagos,1
Agboville,Ivory Coast,5.92801,-4.21319,81770,35,Africa/Abidjan,0
Agdam,Azerbaijan,39.99096,46.92736,39451,374,Asia/Baku,4
Agdas,Azerbaijan,40.64699,47.4738,23528,50,Asia/Baku,4
Agde,France,43.31083,3.47583,23001,16,Europe/Paris,1
Agdzhabedy,Azerbaijan,40.05015,47.45937,34989,15,Asia/Baku,4
Agen,France,44.20199,0.62055,34367,57,Europe/Paris,1
Ageoshimo,Japan,35.97145,139.61382,219401,17,Asia/Tokyo,9
Aghajari,Iran,30.7006,49.8315,21785,151,Asia/Tehran,3.5
Aghsu,Azerbaijan,40.57028,48.40087,17209,179,Asia/Baku,4
Agia Paraskevi,Greece,38.01667,23.83333,59704,216,Europe/Athens,2
Agia Varvara,Greece,37.98938,23.66011,26550,58,Europe/Athens,2
"Agidel'",Russia,55.9077,53.9355,19217,82,Asia/Yekaterinburg,5
Agincourt North,Canada,43.80418,-79.27528,29113,189,America/Toronto,-5
Agincourt South-Malvern West,Canada,43.78866,-79.26561,23757,168,America/Toronto,-5
Aginskoye,Russia,51.1,114.53,17496,675,Asia/Chita,9
Agioi Anargyroi,Greece,38.03013,23.72379,34168,84,Europe/Athens,2
Agios Dimitrios,Greece,37.93333,23.73333,71294,73,Europe/Athens,2
Agios Ioannis Rentis,Greece,37.96491,23.66511,16050,13,Europe/Athens,2
Agnibilekrou,Ivory Coast,7.13113,-3.20415,43061,236,Africa/Abidjan,0
Agogo,Ghana,6.80004,-1.08193,31554,418,Africa/Accra,0
Agoo,Philippines,16.08333,120.1,28972,28,Asia/Manila,8
Agoura,United States,34.14306,-118.73787,20537,283,America/Los_Angeles,-8
Agoura Hills,United States,34.13639,-118.77453,20915,504,America/Los_Angeles,-8
Agra,India,27.18333,78.01667,1430055,166,Asia/Kolkata,5.5
Agri,Turkey,39.71467,43.04015,92022,1622,Europe/Istanbul,3
Agrigento,Italy,37.31065,13.57661,32514,261,Europe/Rome,1
Agrinio,Greece,38.62139,21.40778,46899,66,Europe/Athens,2
Agropoli,Italy,40.34923,14.99067,17335,21,Europe/Rome,1
Agryz,Russia,56.52034,52.99422,18601,93,Europe/Moscow,3
Agua Dulce,Mexico,18.13909,-94.14527,36079,21,America/Mexico_City,-6
Agua Preta,Brazil,-8.7075,-35.53056,16444,133,America/Recife,-3
Agua Prieta,Mexico,31.33071,-109.54876,77254,1219,America/Hermosillo,-7
Aguachica,Colombia,8.30844,-73.6166,73360,164,America/Bogota,-5
Aguada de Pasajeros,Cuba,22.3852,-80.84792,23606,28,America/Havana,-5
Aguadas,Colombia,5.61161,-75.45624,19727,2146,America/Bogota,-5
Aguadilla,Puerto Rico,18.42745,-67.15407,16073,7,America/Puerto_Rico,-4
Aguai,Brazil,-22.05944,-46.97861,27503,665,America/Sao_Paulo,-3
Aguas Belas,Brazil,-9.11139,-37.12306,22563,378,America/Recife,-3
Aguas Santas,Portugal,41.21017,-8.57599,27686,112,Europe/Lisbon,0
Aguas Vermelhas,Brazil,-15.74722,-41.46,16409,735,America/Sao_Paulo,-3
Aguas de Lindoia,Brazil,-22.47639,-46.63278,18805,901,America/Sao_Paulo,-3
Aguascalientes,Mexico,21.88234,-102.28259,722250,1882,America/Mexico_City,-6
Aguazul,Colombia,5.17282,-72.54706,15669,276,America/Bogota,-5
Agudos,Brazil,-22.46917,-48.9875,30807,587,America/Sao_Paulo,-3
Aguilares,Argentina,-27.4338,-65.61427,32494,375,America/Argentina/Tucuman,-3
Aguilares,El Salvador,13.95722,-89.18972,21445,304,America/El_Salvador,-6
Aguilas,Spain,37.4063,-1.58289,34533,23,Europe/Madrid,1
Aguimes,Spain,27.90539,-15.44609,28924,287,Atlantic/Canary,0
Agulu,Nigeria,6.10045,7.061,79021,201,Africa/Lagos,1
Agustin Codazzi,Colombia,10.03672,-73.23558,51478,136,America/Bogota,-5
Ahar,Iran,38.4774,47.0699,94348,1336,Asia/Tehran,3.5
Ahaus,Germany,52.07936,7.01344,38165,50,Europe/Berlin,1
Ahfir,Morocco,34.95368,-2.10027,19611,252,Africa/Casablanca,1
Ahlat,Turkey,38.7489,42.48007,64695,1708,Europe/Istanbul,3
Ahlen,Germany,51.76338,7.8887,55280,82,Europe/Berlin,1
Ahmadbayli,Azerbaijan,39.88074,48.39158,17242,-11,Asia/Baku,4
Ahmadnagar,India,19.09457,74.73843,367140,661,Asia/Kolkata,5.5
Ahmadpur,India,18.70622,76.93731,40218,526,Asia/Kolkata,5.5
Ahmadpur East,Pakistan,29.14269,71.25771,116579,105,Asia/Karachi,5
Ahmadpur Sial,Pakistan,30.67791,71.74344,24889,133,Asia/Karachi,5
Ahmedabad,India,23.02579,72.58727,6357693,56,Asia/Kolkata,5.5
Ahraura,India,25.01579,83.03294,25075,106,Asia/Kolkata,5.5
Ahrensburg,Germany,53.67515,10.22593,30103,44,Europe/Berlin,1
Ahu,"China, People's Republic of",34.37664,118.60308,55298,29,Asia/Shanghai,8
Ahuachapan,El Salvador,13.92139,-89.845,34102,796,America/El_Salvador,-6
Ahualulco de Mercado,Mexico,20.70137,-103.97461,15512,1325,America/Mexico_City,-6
Ahvaz,Iran,31.31901,48.6842,841145,23,Asia/Tehran,3.5
Ahwatukee Foothills,United States,33.34171,-111.98403,83464,386,America/Phoenix,-7
Aibak,Afghanistan,36.26468,68.01551,47823,969,Asia/Kabul,4.5
Aichach,Germany,48.45755,11.13413,21042,453,Europe/Berlin,1
Aigaleo,Greece,37.98333,23.68333,69946,24,Europe/Athens,2
Aigio,Greece,38.24861,22.08194,20422,70,Europe/Athens,2
Aiken,United States,33.56042,-81.71955,30604,161,America/New_York,-5
Aileu,East Timor,-8.72806,125.56639,17356,926,Asia/Dili,9
Aimores,Brazil,-19.49583,-41.06389,19133,79,America/Sao_Paulo,-3
Ain Arnat,Algeria,36.18683,5.31347,35088,1022,Africa/Algiers,1
Ain Beida,Algeria,35.79639,7.39278,105765,1008,Africa/Algiers,1
Ain Beni Mathar,Morocco,34.0097,-2.03238,16289,917,Africa/Casablanca,1
Ain Bessem,Algeria,36.29333,3.67319,29461,677,Africa/Algiers,1
Ain Defla,Algeria,36.26405,1.9679,52276,264,Africa/Algiers,1
Ain Fakroun,Algeria,35.97108,6.87374,68433,953,Africa/Algiers,1
Ain Kercha,Algeria,35.92472,6.69528,32497,819,Africa/Algiers,1
Ain Oussera,Algeria,35.45139,2.90583,118687,685,Africa/Algiers,1
Ain Sefra,Algeria,32.75,-0.58333,63420,1078,Africa/Algiers,1
Ain Smara,Algeria,36.2674,6.50135,28968,627,Africa/Algiers,1
Ain Sukhna,Egypt,29.60018,32.31671,45552,30,Africa/Cairo,2
Ain Taya,Algeria,36.79333,3.28694,21815,26,Africa/Algiers,1
Ain Temouchent,Algeria,35.29749,-1.14037,57354,240,Africa/Algiers,1
Ain Touta,Algeria,35.37675,5.90001,72280,925,Africa/Algiers,1
Ain el Bya,Algeria,35.80389,-0.30178,37241,63,Africa/Algiers,1
Aioi,Japan,34.80361,134.46806,32394,8,Asia/Tokyo,9
Airdrie,Canada,51.30011,-114.03528,24673,1086,America/Edmonton,-7
Airdrie,United Kingdom,55.86602,-3.98025,37130,130,Europe/London,0
Airoli,India,19.15096,72.99625,100000,5,Asia/Kolkata,5.5
Aistala,India,23.18,88.58,19425,16,Asia/Kolkata,5.5
Aiud,Romania,46.31006,23.72128,28341,254,Europe/Bucharest,2
Aix-en-Provence,France,43.5283,5.44973,146821,205,Europe/Paris,1
Aix-les-Bains,France,45.69173,5.90863,27651,246,Europe/Paris,1
Aizawl,India,23.72894,92.71791,265331,1080,Asia/Kolkata,5.5
Aja,Egypt,30.94162,31.29039,34692,12,Africa/Cairo,2
Ajab Shir,Iran,37.4776,45.8943,29675,1297,Asia/Tehran,3.5
Ajaccio,France,41.91886,8.73812,54364,12,Europe/Paris,1
Ajalpan,Mexico,18.37908,-97.25867,28031,1223,America/Mexico_City,-6
Ajaokuta,Nigeria,7.56229,6.65497,15144,52,Africa/Lagos,1
Ajax,Canada,43.85012,-79.03288,90167,97,America/Toronto,-5
Ajdabiya,Libya,30.75545,20.22625,134358,3,Africa/Tripoli,2
Ajka,Hungary,47.10196,17.55892,31407,225,Europe/Budapest,1
Ajman City,United Arab Emirates,25.40177,55.47878,490035,2,Asia/Dubai,4
Ajmer,India,26.4521,74.63867,517911,475,Asia/Kolkata,5.5
Ajnala,India,31.84473,74.76295,19691,231,Asia/Kolkata,5.5
Ajodhya,India,26.79909,82.2047,53293,102,Asia/Kolkata,5.5
Ajra,India,16.11601,74.21097,15864,661,Asia/Kolkata,5.5
Akademgorodok,Russia,54.8523,83.106,50000,151,Asia/Novosibirsk,7
Akademicheskoe,Russia,60.01375,30.39471,103304,19,Europe/Moscow,3
Akalkot,India,17.52532,76.20611,39226,471,Asia/Kolkata,5.5
Akaltara,India,22.02463,82.42641,21333,287,Asia/Kolkata,5.5
Akashi,Japan,34.65524,135.00687,297279,37,Asia/Tokyo,9
Akbarabad,Iran,29.2464,52.7793,98342,1518,Asia/Tehran,3.5
Akbarpur,India,26.38371,79.94926,18835,135,Asia/Kolkata,5.5
Akbou,Algeria,36.4575,4.53494,66654,215,Africa/Algiers,1
Akcaabat,Turkey,41.02121,39.57146,45105,21,Europe/Istanbul,3
Akcakale,Turkey,36.71111,38.9475,32114,361,Europe/Istanbul,3
Akcakoca,Turkey,41.08663,31.11623,35151,59,Europe/Istanbul,3
Akdagmadeni,Turkey,39.66028,35.88361,23048,1313,Europe/Istanbul,3
Akersberga,Sweden,59.47944,18.29967,32659,9,Europe/Stockholm,1
Aketi,Democratic Republic of the Congo,2.73877,23.78326,35161,380,Africa/Lubumbashi,2
Akhaltsikhe,Georgia,41.63901,42.98262,17298,984,Asia/Tbilisi,4
Akhisar,Turkey,38.91852,27.84006,84659,103,Europe/Istanbul,3
Akhmim,Egypt,26.5622,31.74566,99446,82,Africa/Cairo,2
Akhtubinsk,Russia,48.27955,46.17217,44551,3,Europe/Astrakhan,4
Akhtyrskiy,Russia,44.8546,38.3031,19468,34,Europe/Moscow,3
Aki,Japan,33.5,133.9,20117,13,Asia/Tokyo,9
Akim Oda,Ghana,5.92665,-0.98577,60604,132,Africa/Accra,0
Akita,Japan,39.71667,140.11667,320069,14,Asia/Tokyo,9
Akividu,India,16.58225,81.38112,40413,13,Asia/Kolkata,5.5
Akkarampalle,India,13.65,79.42,20325,167,Asia/Kolkata,5.5
"Akkol'",Kazakhstan,53.29617,69.59997,16773,261,Asia/Almaty,6
Aklera,India,24.41288,76.56719,19683,321,Asia/Kolkata,5.5
